Player,Game,Won,Declarer Points,Trick Win Rate,Failed Contract,Decision Time (s)
Player 1,1,0,0,6.89,1,1.81
Player 1,2,0,53,6.99,0,1.91
Player 1,3,0,0,7.32,0,1.7
Player 1,4,0,0,7.21,0,1.7
Player 1,5,0,0,7.1,0,1.81
Player 1,6,0,0,7.1,0,1.91
Player 1,7,0,0,7.21,0,1.91
Player 1,8,0,77,7.32,0,2.02
Player 1,9,0,0,6.89,0,1.81
Player 1,10,0,0,7.64,0,1.91
Player 1,11,0,0,7.86,0,1.81
Player 1,12,0,0,6.99,0,1.81
Player 1,13,0,0,7.21,0,1.91
Player 1,14,0,0,6.99,0,2.13
Player 1,15,0,0,6.46,0,1.91
Player 1,16,0,0,7.1,0,1.91
Player 1,17,0,0,7.21,0,1.7
Player 1,18,1,0,6.78,1,1.91
Player 1,19,0,0,6.89,0,1.91
Player 1,20,1,0,6.78,0,1.91
Player 1,21,1,78,6.78,0,1.7
Player 1,22,1,0,7.21,0,1.91
Player 1,23,0,0,6.56,0,1.81
Player 1,24,0,0,6.46,0,1.81
Player 1,25,0,0,6.67,1,1.91
Player 1,26,0,0,6.99,1,1.81
Player 1,27,0,0,7.1,0,1.91
Player 1,28,0,76,7.1,1,1.91
Player 1,29,0,0,6.89,1,2.02
Player 1,30,0,0,7.1,0,1.81
Player 1,31,0,73,6.67,0,2.02
Player 1,32,0,0,6.89,0,1.81
Player 1,33,0,0,7.43,0,2.02
Player 1,34,0,0,6.78,0,1.91
Player 1,35,0,0,6.89,0,1.91
Player 1,36,0,0,7.43,0,1.91
Player 1,37,1,0,6.46,0,1.81
Player 1,38,0,0,6.24,1,1.81
Player 1,39,1,0,6.56,0,1.81
Player 1,40,0,0,6.99,0,1.91
Player 1,41,0,66,7.43,0,1.7
Player 1,42,0,73,6.99,0,1.91
Player 1,43,0,0,6.89,0,1.81
Player 1,44,0,0,7.21,0,2.02
Player 1,45,1,0,6.99,0,1.81
Player 1,46,0,0,6.67,1,2.02
Player 1,47,0,0,6.78,0,2.02
Player 1,48,1,0,7.43,0,1.91
Player 1,49,0,0,6.78,1,2.02
Player 1,50,0,83,6.99,1,1.91
Player 1,51,1,76,7.32,0,1.81
Player 1,52,0,0,7.43,1,1.7
Player 1,53,1,0,7.32,0,1.7
Player 1,54,0,0,7.32,0,1.91
Player 1,55,1,0,6.46,0,1.91
Player 1,56,0,87,6.67,0,2.02
Player 1,57,0,0,6.24,0,2.02
Player 1,58,1,90,7.32,1,2.02
Player 1,59,0,0,6.89,0,1.91
Player 1,60,1,0,6.78,0,1.91
Player 1,61,0,0,7.1,0,1.81
Player 1,62,0,0,7.53,0,2.02
Player 1,63,1,0,7.32,0,1.91
Player 1,64,0,0,6.35,0,1.91
Player 1,65,1,0,6.24,0,1.91
Player 1,66,0,68,6.78,1,2.13
Player 1,67,0,0,7.53,0,2.02
Player 1,68,1,76,6.46,0,1.91
Player 1,69,1,0,6.89,0,1.91
Player 1,70,0,0,7.1,1,1.81
Player 1,71,0,62,6.78,0,2.13
Player 1,72,0,79,7.1,1,1.91
Player 1,73,0,0,7.32,0,2.02
Player 1,74,0,71,6.89,0,1.7
Player 1,75,1,70,7.21,1,1.91
Player 1,76,1,0,6.89,0,2.02
Player 1,77,0,0,7.64,0,1.81
Player 1,78,0,0,6.89,0,1.91
Player 1,79,0,0,7.21,0,2.13
Player 1,80,0,0,6.35,0,2.13
Player 1,81,0,0,6.99,0,2.02
Player 1,82,0,80,6.99,0,1.91
Player 1,83,0,0,7.53,0,1.91
Player 1,84,0,0,7.43,0,1.81
Player 1,85,0,68,7.75,0,1.7
Player 1,86,0,0,7.32,0,1.91
Player 1,87,0,0,7.32,0,1.91
Player 1,88,0,0,6.89,1,1.91
Player 1,89,0,84,6.67,0,1.81
Player 1,90,0,0,6.89,0,2.02
Player 1,91,1,0,6.56,0,1.91
Player 1,92,0,79,7.43,0,1.81
Player 1,93,0,0,7.32,0,1.81
Player 1,94,0,59,7.32,0,1.7
Player 1,95,0,82,6.89,0,1.91
Player 1,96,0,78,7.43,0,1.81
Player 1,97,0,0,7.32,0,1.91
Player 1,98,0,0,7.1,1,1.91
Player 1,99,0,0,6.89,0,2.02
Player 1,100,0,0,6.46,0,1.91
Player 1,101,0,75,6.67,0,1.91
Player 1,102,0,0,6.56,0,1.91
Player 1,103,0,0,7.1,0,1.91
Player 1,104,1,0,6.89,0,1.91
Player 1,105,0,0,7.1,0,2.02
Player 1,106,1,0,6.89,0,1.91
Player 1,107,0,70,7.1,0,1.81
Player 1,108,1,74,7.53,0,2.02
Player 1,109,1,0,7.32,0,1.81
Player 1,110,1,0,6.24,0,1.91
Player 1,111,0,0,6.67,0,2.02
Player 1,112,0,0,7.21,0,2.02
Player 1,113,0,0,6.89,1,2.02
Player 1,114,1,0,6.99,1,2.02
Player 1,115,0,0,7.1,1,1.91
Player 1,116,1,0,6.46,0,1.91
Player 1,117,1,0,6.67,0,1.81
Player 1,118,0,0,7.21,0,1.91
Player 1,119,0,0,6.56,0,1.91
Player 1,120,0,65,7.75,0,1.7
Player 2,1,0,0,8.63,0,2.69
Player 2,2,0,0,8.52,0,2.69
Player 2,3,1,0,7.99,0,2.6
Player 2,4,0,0,8.2,0,2.79
Player 2,5,0,0,8.73,0,2.69
Player 2,6,0,0,8.31,0,2.69
Player 2,7,0,0,7.88,1,2.69
Player 2,8,1,0,8.31,0,2.6
Player 2,9,0,52,8.52,0,2.79
Player 2,10,0,0,8.63,0,2.69
Player 2,11,0,0,8.84,0,2.79
Player 2,12,0,40,8.84,0,2.79
Player 2,13,1,0,8.52,0,2.79
Player 2,14,0,54,7.99,0,2.79
Player 2,15,0,65,8.73,0,2.6
Player 2,16,0,59,8.95,0,2.79
Player 2,17,0,0,7.78,0,2.5
Player 2,18,1,52,8.84,0,2.5
Player 2,19,1,61,8.73,0,2.6
Player 2,20,0,45,7.88,0,2.69
Player 2,21,0,69,8.31,0,2.79
Player 2,22,0,0,9.16,0,2.4
Player 2,23,0,0,8.95,0,2.69
Player 2,24,0,54,8.41,0,2.79
Player 2,25,0,0,7.56,0,2.6
Player 2,26,0,0,8.2,0,2.79
Player 2,27,1,0,8.41,0,2.6
Player 2,28,0,0,7.56,0,2.5
Player 2,29,1,0,8.73,0,2.79
Player 2,30,1,50,7.88,0,2.6
Player 2,31,0,53,9.16,0,2.6
Player 2,32,1,40,8.2,0,2.69
Player 2,33,1,0,8.41,0,2.69
Player 2,34,1,0,8.84,0,2.79
Player 2,35,0,58,8.63,1,2.69
Player 2,36,0,51,8.41,0,2.69
Player 2,37,0,0,7.88,0,2.69
Player 2,38,0,0,8.95,0,2.69
Player 2,39,1,0,8.41,1,2.69
Player 2,40,1,0,8.84,0,2.69
Player 2,41,1,0,8.31,0,2.69
Player 2,42,0,0,8.52,0,2.79
Player 2,43,0,57,8.1,0,2.69
Player 2,44,1,59,8.73,0,2.6
Player 2,45,0,0,9.16,0,2.6
Player 2,46,1,62,8.1,0,2.69
Player 2,47,0,50,8.41,0,2.89
Player 2,48,0,0,8.2,0,2.6
Player 2,49,0,56,8.73,0,2.69
Player 2,50,1,0,9.05,0,2.89
Player 2,51,1,0,8.52,0,2.6
Player 2,52,1,59,8.41,0,2.79
Player 2,53,1,52,8.84,0,2.79
Player 2,54,0,0,8.2,0,2.6
Player 2,55,0,0,8.63,0,2.6
Player 2,56,1,0,8.41,0,2.79
Player 2,57,1,57,8.73,0,2.79
Player 2,58,0,67,8.73,0,2.69
Player 2,59,0,54,8.31,0,2.6
Player 2,60,0,0,8.63,0,2.79
Player 2,61,0,52,8.84,0,2.69
Player 2,62,1,0,7.88,0,2.6
Player 2,63,0,57,8.41,0,2.79
Player 2,64,1,47,8.41,0,2.69
Player 2,65,1,0,8.41,0,2.6
Player 2,66,0,0,8.41,0,2.69
Player 2,67,0,0,9.05,0,2.89
Player 2,68,1,73,8.1,0,2.69
Player 2,69,1,0,8.63,0,2.69
Player 2,70,0,64,8.73,0,2.89
Player 2,71,1,0,8.63,0,2.79
Player 2,72,0,74,8.73,0,2.69
Player 2,73,1,49,8.52,1,2.69
Player 2,74,1,0,8.31,0,2.69
Player 2,75,0,0,8.31,0,2.69
Player 2,76,0,0,8.52,0,2.69
Player 2,77,0,74,8.41,0,2.6
Player 2,78,0,0,8.73,0,2.6
Player 2,79,0,0,8.63,0,2.5
Player 2,80,0,0,8.95,0,2.6
Player 2,81,0,67,8.52,0,2.89
Player 2,82,0,0,8.31,0,2.89
Player 2,83,1,0,8.41,0,2.6
Player 2,84,0,51,9.05,0,2.6
Player 2,85,1,0,8.95,0,2.69
Player 2,86,0,60,8.52,0,2.79
Player 2,87,0,0,8.2,0,2.69
Player 2,88,0,0,8.52,0,2.69
Player 2,89,0,0,8.63,0,2.89
Player 2,90,1,0,8.41,0,2.69
Player 2,91,1,61,8.73,0,2.79
Player 2,92,1,0,7.88,0,2.69
Player 2,93,0,59,8.63,1,2.69
Player 2,94,0,49,8.63,0,2.79
Player 2,95,1,0,8.31,0,2.6
Player 2,96,0,48,8.52,0,2.79
Player 2,97,0,0,8.73,0,2.79
Player 2,98,1,0,8.84,0,2.69
Player 2,99,0,51,8.31,0,2.69
Player 2,100,0,51,7.99,0,2.69
Player 2,101,0,47,7.88,1,2.79
Player 2,102,0,0,8.52,1,2.79
Player 2,103,0,54,8.52,0,2.69
Player 2,104,1,0,8.52,0,2.69
Player 2,105,0,0,7.88,0,2.89
Player 2,106,0,0,8.41,0,2.69
Player 2,107,1,0,9.05,0,2.5
Player 2,108,0,0,8.63,1,2.69
Player 2,109,0,0,8.31,0,2.89
Player 2,110,0,0,8.84,0,2.69
Player 2,111,1,0,8.84,0,2.69
Player 2,112,0,41,8.73,0,2.5
Player 2,113,1,58,8.73,0,2.5
Player 2,114,1,0,8.41,0,2.79
Player 2,115,1,0,8.52,1,2.69
Player 2,116,1,0,8.73,0,2.6
Player 2,117,1,0,7.99,0,2.89
Player 2,118,1,0,8.63,0,2.69
Player 2,119,0,81,9.05,0,2.79
Player 2,120,1,0,8.52,0,2.69
Player 3,1,0,0,6.43,0,1.67
Player 3,2,0,0,6.43,0,1.81
Player 3,3,0,52,6.25,0,1.67
Player 3,4,0,46,6.43,0,1.74
Player 3,5,0,0,6.78,0,1.88
Player 3,6,0,0,6.78,0,1.88
Player 3,7,1,40,6.08,0,1.81
Player 3,8,0,0,6.6,0,1.74
Player 3,9,1,0,6.08,2,1.81
Player 3,10,0,39,6.69,0,1.74
Player 3,11,1,0,6.25,0,1.88
Player 3,12,0,43,6.43,2,1.81
Player 3,13,0,0,6.43,0,1.81
Player 3,14,0,41,5.91,0,1.74
Player 3,15,1,0,6.34,0,1.67
Player 3,16,0,0,6.6,0,1.81
Player 3,17,0,0,6.86,0,1.67
Player 3,18,0,0,6.69,0,1.81
Player 3,19,0,0,6.43,0,1.81
Player 3,20,0,46,6.17,0,1.81
Player 3,21,1,53,5.91,0,1.88
Player 3,22,0,0,6.52,0,1.81
Player 3,23,1,45,6.6,0,1.74
Player 3,24,0,0,6.6,0,1.88
Player 3,25,0,0,6.52,2,1.74
Player 3,26,0,45,6.86,0,1.88
Player 3,27,0,42,6.78,0,1.88
Player 3,28,0,34,6.86,0,1.74
Player 3,29,1,47,6.52,0,1.67
Player 3,30,1,40,6.78,0,1.74
Player 3,31,0,0,6.69,0,1.74
Player 3,32,0,0,6.43,0,1.81
Player 3,33,1,0,6.86,0,1.88
Player 3,34,0,44,6.78,0,1.81
Player 3,35,1,34,6.08,0,1.88
Player 3,36,1,0,6.69,0,1.81
Player 3,37,0,0,6.78,0,1.74
Player 3,38,0,39,6.6,0,1.95
Player 3,39,0,45,6.69,0,1.88
Player 3,40,0,0,6.52,0,1.81
Player 3,41,0,0,6.34,0,1.81
Player 3,42,0,0,6.34,0,1.81
Player 3,43,1,0,6.43,0,1.95
Player 3,44,1,0,6.34,0,1.81
Player 3,45,0,0,6.34,0,1.74
Player 3,46,1,51,6.34,0,1.81
Player 3,47,0,0,6.25,0,1.81
Player 3,48,1,42,6.78,0,1.95
Player 3,49,1,42,6.34,0,1.88
Player 3,50,0,0,6.78,2,1.81
Player 3,51,0,0,5.99,0,1.81
Player 3,52,0,0,6.6,0,1.88
Player 3,53,1,40,6.43,0,1.81
Player 3,54,0,0,6.34,2,1.88
Player 3,55,0,0,7.12,0,1.74
Player 3,56,0,32,6.25,0,1.74
Player 3,57,1,0,6.34,0,1.81
Player 3,58,0,0,6.17,0,1.74
Player 3,59,1,47,6.6,0,1.81
Player 3,60,1,40,6.25,0,1.74
Player 3,61,1,0,6.43,0,1.88
Player 3,62,1,0,6.78,0,1.81
Player 3,63,1,0,6.25,0,1.81
Player 3,64,0,0,6.6,0,1.81
Player 3,65,0,48,6.6,0,1.95
Player 3,66,1,0,6.34,0,1.88
Player 3,67,1,0,6.17,0,1.74
Player 3,68,0,0,7.04,0,1.67
Player 3,69,0,0,6.43,0,1.74
Player 3,70,0,0,6.52,0,1.88
Player 3,71,1,42,6.6,0,1.74
Player 3,72,1,41,6.34,0,1.88
Player 3,73,1,44,6.52,0,1.88
Player 3,74,1,0,6.6,0,1.67
Player 3,75,1,0,6.78,0,1.74
Player 3,76,0,0,6.17,0,1.95
Player 3,77,0,0,6.43,0,1.95
Player 3,78,0,0,6.52,0,1.88
Player 3,79,0,0,6.25,0,1.81
Player 3,80,0,0,6.6,0,1.74
Player 3,81,0,0,6.6,0,1.74
Player 3,82,0,0,6.78,0,1.81
Player 3,83,0,0,6.6,0,1.81
Player 3,84,1,0,6.17,0,1.81
Player 3,85,1,0,6.6,0,1.81
Player 3,86,0,44,6.69,0,1.81
Player 3,87,0,47,6.52,0,1.81
Player 3,88,0,31,6.6,0,1.81
Player 3,89,1,46,6.25,0,1.67
Player 3,90,1,0,6.34,0,1.81
Player 3,91,1,0,6.43,2,1.81
Player 3,92,0,0,6.25,0,1.88
Player 3,93,0,52,6.34,0,1.67
Player 3,94,1,0,6.86,0,1.74
Player 3,95,1,0,6.43,0,1.74
Player 3,96,1,0,6.78,0,1.74
Player 3,97,0,0,6.34,2,1.67
Player 3,98,0,0,6.43,0,1.67
Player 3,99,0,38,6.25,0,1.88
Player 3,100,0,47,6.43,0,1.88
Player 3,101,0,37,6.6,0,1.81
Player 3,102,0,44,6.52,0,1.81
Player 3,103,0,38,6.34,0,1.74
Player 3,104,1,51,6.95,2,1.74
Player 3,105,0,35,6.69,0,1.81
Player 3,106,0,45,6.52,2,1.81
Player 3,107,1,0,6.69,0,1.95
Player 3,108,0,42,6.52,0,1.95
Player 3,109,1,0,6.86,0,1.74
Player 3,110,0,47,7.04,0,1.88
Player 3,111,0,0,6.6,2,1.88
Player 3,112,0,0,6.43,0,1.74
Player 3,113,1,0,6.86,0,1.74
Player 3,114,0,0,6.43,0,1.88
Player 3,115,0,0,6.25,0,1.81
Player 3,116,1,0,6.6,2,1.88
Player 3,117,0,0,6.52,0,1.88
Player 3,118,0,42,6.34,0,1.6
Player 3,119,1,0,6.08,0,1.74
Player 3,120,1,0,6.43,0,1.81
